open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1735862400000,96967.60,97045.10,96760.00,96990.30,2082.854,1735864199999,201839599.02880,35998,876.723,84952910.98610,0
1735864200000,96990.30,97037.90,96764.20,96799.90,1044.434,1735865999999,101189824.98250,25019,468.622,45398126.94550,0
1735866000000,96800.00,96880.00,96622.00,96872.60,1901.968,1735867799999,184007064.30430,37550,895.188,86620821.32710,0
1735867800000,96872.60,96988.00,96650.00,96960.50,1158.326,1735869599999,112157580.00410,26993,661.541,64056231.75280,0
1735869600000,96960.60,97325.70,96825.00,97222.60,2506.349,1735871399999,243465510.88170,46256,1340.159,130197666.34640,0
1735871400000,97222.70,97232.20,96918.10,96938.00,1155.578,1735873199999,112160317.72040,27750,464.414,45074142.07380,0
1735873200000,96938.10,97057.80,96785.70,96900.00,879.582,1735874999999,85256292.60450,23496,344.017,33348574.79260,0
1735875000000,96900.00,97065.80,96829.80,97019.10,659.535,1735876799999,63943734.97440,20449,375.274,36386969.69140,0
1735876800000,97019.10,97034.90,96835.00,96877.70,1123.506,1735878599999,108899713.89050,25967,475.879,46126741.41640,0
1735878600000,96877.80,96923.00,96721.90,96779.20,964.200,1735880399999,93330781.36120,24419,454.346,43977183.81900,0
1735880400000,96779.30,96833.90,96555.00,96641.30,2030.780,1735882199999,196280877.41280,37777,831.730,80398068.88470,0
1735882200000,96641.30,96797.00,96596.70,96727.30,1040.937,1735883999999,100667430.92330,23981,555.003,53673814.35320,0
1735884000000,96727.30,96884.60,96574.60,96633.60,1231.974,1735885799999,119175248.78460,30177,621.950,60168829.61310,0
1735885800000,96633.50,96707.40,96460.40,96504.80,1681.327,1735887599999,162369701.85410,32143,659.473,63692526.34370,0
1735887600000,96504.70,96614.80,96367.60,96412.30,2244.810,1735889399999,216570910.73840,42951,1014.589,97900997.46830,0
1735889400000,96412.30,96442.40,96236.60,96275.00,4176.155,1735891199999,402348872.52640,50118,1386.441,133565133.29650,0
1735891200000,96275.10,96497.00,96275.00,96300.00,1918.255,1735892999999,184930932.13370,37223,999.484,96357425.85870,0
1735893000000,96300.10,96300.10,96068.00,96090.60,3647.059,1735894799999,350702520.31230,53522,1660.060,159625463.98680,0
1735894800000,96090.60,96526.60,96061.50,96450.00,2667.376,1735896599999,256963757.15550,49513,1498.067,144312949.10490,0
1735896600000,96450.00,96673.80,96407.10,96511.80,2274.586,1735898399999,219673234.24710,40201,1053.068,101700620.42610,0
1735898400000,96511.80,96527.30,96362.30,96500.00,1302.622,1735900199999,125630103.44540,29936,632.299,60981701.47750,0
1735900200000,96500.00,96609.90,96405.70,96443.90,972.487,1735901999999,93842817.36220,23473,457.026,44103990.30100,0
1735902000000,96443.80,96788.00,96439.50,96703.50,1723.048,1735903799999,166518946.14530,33321,1072.586,103646196.62760,0
1735903800000,96703.50,96785.20,96614.40,96710.50,1604.299,1735905599999,155142290.56250,32267,779.291,75362235.23910,0
1735905600000,96710.40,96860.40,96669.20,96845.40,1822.411,1735907399999,176357348.80200,37711,913.039,88361336.57280,0
1735907400000,96845.30,96886.10,96615.30,96615.40,1507.476,1735909199999,145804570.51330,28143,466.989,45172215.88090,0
1735909200000,96615.30,96797.60,96422.50,96496.10,2957.423,1735910999999,285645955.51880,60914,1407.945,136004302.87760,0
1735911000000,96496.10,96678.00,96452.50,96464.10,1663.236,1735912799999,160568255.65860,40237,790.144,76277330.38360,0
1735912800000,96464.00,97103.50,96464.00,97037.50,3992.890,1735914599999,386731368.81010,63697,2387.612,231277590.43120,0
1735914600000,97037.50,97321.00,96562.90,96970.40,8352.677,1735916399999,809995875.23400,166715,4022.284,390081230.44050,0
1735916400000,96970.40,97433.40,96707.30,97215.90,7038.749,1735918199999,683363676.83520,152401,3612.906,350859466.51470,0
1735918200000,97215.90,97637.70,97086.90,97479.50,6569.545,1735919999999,639925124.41580,123048,3531.588,344052069.73410,0
1735920000000,97479.60,98423.00,97353.60,98023.90,10888.454,1735921799999,1066674938.24740,186499,6118.126,599392077.30360,0
1735921800000,98022.00,98343.00,97675.00,97822.30,5484.503,1735923599999,537640897.78920,111232,2448.071,239995850.91680,0
