价格,数量,操作,层级,网格类型,金额
38516.19402064388,0.10817960529624034,buy,2,single,4166.666666666667
44258.09701032194,0.09414473165655791,buy,1,single,4166.666666666667
55741.90298967806,0.08333333333333334,sell,1,single,4645.158582473173
61483.80597935612,0.08333333333333334,sell,2,single,5123.650498279677
67225.7089690342,0.08333333333333334,sell,3,single,5602.142414086184
72967.61195871224,0.08333333333333334,sell,4,single,6080.634329892687
78709.51494839031,0.08333333333333334,sell,5,single,6559.126245699193
84451.41793806838,0.08333333333333334,sell,6,single,7037.618161505699
90193.32092774643,0.08333333333333334,sell,7,single,7516.110077312203
95935.22391742449,0.08333333333333334,sell,8,single,7994.601993118708
101677.12690710256,0.08333333333333334,sell,9,single,8473.093908925215
107419.02989678063,0.08333333333333334,sell,10,single,8951.585824731721
113160.93288645867,0.08333333333333334,sell,11,single,9430.077740538223
118902.83587613674,0.08333333333333334,sell,12,single,9908.569656344729
124644.73886581481,0.08333333333333334,sell,13,single,10387.061572151235
130386.64185549287,0.08333333333333334,sell,14,single,10865.55348795774
136128.54484517092,0.08333333333333334,sell,15,single,11344.045403764245
141870.44783484898,0.08333333333333334,sell,16,single,11822.537319570749
147612.35082452706,0.08333333333333334,sell,17,single,12301.029235377257
153354.25381420512,0.08333333333333334,sell,18,single,12779.52115118376
159096.15680388318,0.08333333333333334,sell,19,single,13258.013066990266
164838.05979356123,0.08333333333333334,sell,20,single,13736.50498279677
170579.96278323932,0.08333333333333334,sell,21,single,14214.996898603278
176321.86577291734,0.08333333333333334,sell,22,single,14693.48881440978
182063.76876259543,0.08333333333333334,sell,23,single,15171.980730216288
187805.67175227348,0.08333333333333334,sell,24,single,15650.472646022792
